Movie,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,MPAA_ PG,MPAA_ PG-13,MPAA_ R,studio_ A24,studio_ Annapurna,studio_ BV,studio_ Col.,studio_ DW,studio_ FL,studio_ Focus,studio_ Fox,studio_ FoxS,studio_ Gram.,studio_ IFC,studio_ LG/S,studio_ LGF,studio_ Lions,studio_ Mira.,studio_ NL,studio_ Netflix,studio_ ORF,studio_ Oct.,studio_ Orion,studio_ Par.,studio_ ParV,studio_ RAtt.,studio_ SPC,studio_ Sony,studio_ Sum.,studio_ TriS,studio_ USA,studio_ Uni.,studio_ WB,studio_ WIP,studio_ Wein.,release_nom,Total_nominations
A Star Is Born,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,8
Black Panther,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7
BlacKkKlansman,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
Bohemian Rhapsody,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
Green Book,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5
